root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:19:18.139917 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4112:4148, ack 1, win 501, length 36
20:19:18.139975 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4148:4296, ack 1, win 501, length 148
20:19:18.140004 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4296:4332, ack 1, win 501, length 36
20:19:18.140041 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4332:4480, ack 1, win 501, length 148
20:19:18.140068 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4480:4516, ack 1, win 501, length 36
20:19:18.140104 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4516:4664, ack 1, win 501, length 148
20:19:18.140156 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4664:4848, ack 1, win 501, length 184
20:19:18.140183 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4848:4884, ack 1, win 501, length 36
20:19:18.140236 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 4884:5024, ack 1, win 501, length 140
20:19:18.140274 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 5024:5060, ack 1, win 501, length 36
20:19:18.153461 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 5024, win 4106, length 0
20:19:18.196605 IP 99.228.153.224.50332 > 178.128.236.45.22: Flags [.], ack 5060, win 4106, length 0
20:19:18.242903 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 5060:5208, ack 1, win 501, length 148
20:19:18.243080 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 5208:5244, ack 1, win 501, length 36
20:19:18.243147 IP 178.128.236.45.22 > 99.228.153.224.50332: Flags [P.], seq 5244:5392, ack 1, win 501, length 148
